PAL,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
557003,Foreign Minister,Nazif al-Khalidi,5,Ideological Crusader,M557003
557004,Minister of Armament,George Humsi,5,Military Entrepreneur,M557004
557005,Minister of Security,Musa Qassem al-Husseini,5,Prince of Terror,M557005
557015,Head of Government,Yussef Pasha al-Khalidi,9,Political Protege,M557015
557017,Head of Government,Ahmad Shukairy,3,Happy Amateur,M557017
557018,Head of Government,Haj Mustafa Abboushi,2,Ambitious Union Boss,M557018
557019,Foreign Minister,Ragheed Nashasbibi,9,Iron Fisted Brute,M557019
557022,Foreign Minister,Hafiz Pasha Abdul Hadi,2,Apologetic Clerk,M557022
557024,Minister of Armament,Abdullah Jaffer Dalal,7,Air Superiority Proponent,M557024
557025,Minister of Armament,Ruhi Abdul Hadi,3,laissez-faire capitalist,M557025
557026,Minister of Armament,Sharif Nasir al-Qagli,2,Infantry Proponent,M557026
557027,Minister of Security,Awni Abdul Hadi,9,Crooked Kleptocrat,M557027
557028,Minister of Security,George Antinous,7,Compassionate Gentleman,M557028
557029,Minister of Security,Nicolas Abdo,3,Silent Lawyer,M557029
557030,Minister of Security,Dekel Shukri,2,Back Stabber,M557030
557031,Head of Military Intelligence,Dr. Abu So'oud,9,Technical Specialist,M557031
557032,Head of Military Intelligence,Massoud al-Jinnah,7,Industrial Specialist,M557032
557033,Head of Military Intelligence,Faruk Haydar,3,Logistics Specialist,M557033
557034,Head of Military Intelligence,Majid Abd-el-Haqq,2,Dismal Enigma,M557034
557035,Chief of Staff,Ali Djemal Pasha,9,School of Fire Support,M557035
557038,Chief of Staff,Faruk Haydar,3,School of Psychology,M557033
557039,Chief of Staff,Jaafra Pasha,2,School of Defence,M557039
557040,Chief of Army,Aly al-Muttalib,9,Guns and Butter Doctrine,M557040
557043,Chief of Army,Liwa al-Mawawiyi,3,Elastic Defence Doctrine,M557043
557044,Chief of Army,Sharif Nasir al-Qagli,2,Guns and Butter Doctrine,M557026
557045,Chief of Navy,Ali Djemal Pasha,9,Base Control Doctrine,M557035
557048,Chief of Navy,Ahmad Wasi Pasha,2,Power Projection Doctrine,M557048
557049,Chief of Air Force,Mohammed Azmy Pasha,9,Army Aviation Doctrine,M512096
557050,Chief of Air Force,Abdullah Jaffer Dalal,7,Air Superiority Doctrine,M557024
557052,Chief of Air Force,Muhammed al-Taif,2,Naval Aviation Doctrine,M557052
